Model,EoL or EoS Date,
BL20 G1,31/03/2012,
BL460c,31/03/2012,
BL460c G6,30/06/2016,
BL460c G7 ,28/02/2018,
BL460c G8,28/02/2018,
BL460C G9,01/12/2025,
BL465c G7,31/12/2017,
BL465c G8,01/07/2020,
BL620c G7,30/04/2018,
BL680c G7,30/04/2018,
DL160 G6,30/04/2016,
DL160 G9,01/12/2025,
DL320 G4,30/03/2011,
DL320 G6,30/04/2016,
DL320e G8,01/07/2020,
DL360,04/11/2008,
DL360 G2,04/11/2008,
DL360 G3,31/01/2010,
DL360 G4,30/03/2011,
DL360 G4p,29/02/2012,
DL360 G5,30/11/2014,
DL360 G6,30/04/2016,
DL360 G7,30/04/2018,
DL360 G8,30/04/2016,
DL360 G9,01/12/2025,
DL360e G8,01/07/2020,
DL360p G8,01/07/2020,
DL370 G6,30/04/2016,
DL380 ,16/10/2008,
DL380 G2,31/10/2008,
DL380 G3,28/02/2010,
DL380 G4,28/02/2012,
DL380 G5,30/11/2014,
DL380 G6,30/04/2016,
DL380 G7,30/04/2018,
DL380 G7 SFF,30/04/2018,
DL380 G8,01/07/2020,
DL380 G9,01/12/2025,
DL380 G9 SFF,01/12/2025,
DL380P G5,30/11/2014,
DL380p G8,01/07/2020,
DL385,28/02/2012,
DL385 G7,30/04/2018,
DL580 G2,31/10/2008,
DL580 G5,30/11/2014,
DL580 G7,30/04/2018,
DL785 G5,30/11/2014,
DL785 G6,30/04/2016,
DL980 G7,30/04/2018,
Integrity rx2800i2,01/12/2025,
M4000,31/12/2030,
ML350 G4,28/02/2012,
ML370 G5,30/11/2014,
P260,30/09/2018,
P615,13/12/2005,
P740,03/01/2019,
SPARC T4-2,01/07/2020,
Superdome,01/07/2020,
UNKNOWN,31/12/2030,
VIRTUAL,31/12/2030,
X240 Compute Node,27/06/2019,
X3550 M2,31/10/2008,
X3550 M3,28/02/2010,
X3550 M4,28/02/2012,
X3650,31/10/2008,
X3650 M3,28/02/2010,
X3650 M4,28/02/2012,
X3650 M5,30/11/2014,
